invoice_id,vendor_name,vendor_gstin,amount,tax_amount,tax_rate,invoice_date,submission_date,po_number,bank_account,payment_terms,is_anomaly,anomaly_type
INV-00711,Nucleus Software,81IGLOX7451R2J4,1074561.5,193421.07,0.18,2024-01-18,2024-02-01,PO-0794-DLWY,RZGA5670979487253,Net 60,0,none
INV-07602,Trigent Software,36QTNYS5556X2N0,901648.9,162296.8,0.18,2023-03-08,2023-03-16,PO-0041-IYHI,ECZJ1508087801977,Net 45,0,none
INV-01840,Accelya Solutions,24BSBQF3370E9Q0,1593985.95,286917.47,0.18,2023-02-16,2023-03-01,PO-6378-BCDG,TBBS8321851120284,Net 60,0,none
INV-05870,Infosys BPM Ltd,68WMBDP4359A6Y4,1224544.57,220418.02,0.18,2024-04-22,2024-04-24,PO-1199-EIWS,FQYO8585635822023,Net 45,0,none
INV-01942,NIIT Technologies,06ENXBW2738B9L4,1454563.63,261821.45,0.18,2024-03-20,2024-03-21,PO-2671-CMBR,JQRT0779311872435,Net 60,0,none
INV-01041,Savex Technologies,76UXAQM2870D6A5,778673.93,140161.31,0.18,2023-09-18,2023-09-24,PO-4076-KTMB,JBED3078188120744,Net 45,0,none
INV-05394,Nucleus Software,81IGLOX7451R2J4,1140345.5,205262.19,0.18,2024-02-15,2024-02-26,PO-5294-FCRR,RZGA5670979487253,Net 60,0,none
INV-02348,Savex Technologies,76UXAQM2870D6A5,941504.68,169470.84,0.18,2024-11-21,2024-12-01,PO-5298-NJMY,JBED3078188120744,Net 60,0,none
INV-00600,Birlasoft Ltd,60TTQUN5387R6H1,475178.07,85532.05,0.18,2024-10-11,2024-10-24,PO-2090-GTIK,VRVF2849035694298,Net 45,0,none
INV-09414,Newgen Software,96WDAOF1307T2B5,649039.26,116827.07,0.18,2024-11-01,2024-11-09,PO-FAKE-9894,ZVAV2798537321913,Net 60,1,po_mismatch
INV-00902,Nihilent Ltd,40FXSPS1480H9K9,558479.71,100526.35,0.18,2024-09-12,2024-09-14,PO-1059-AHYP,EEBH9895003066871,Net 45,0,none
INV-05214,Iris Computers,92JDQBJ6656M3R2,2053772.81,369679.11,0.18,2024-11-04,2024-11-09,PO-5652-XKXN,CFEY9201378382544,Net 45,0,none
INV-05453,Majesco Ltd,85BEHHA7355T6K4,1411265.9,254027.86,0.18,2024-03-04,2024-03-10,PO-5980-ZBRQ,XLJV8093123115690,Net 30,0,none
