SUPP_ID,SUPP_NAME,COUNTRY_NAME,SUPP_CITY,SUPP_ADDR,DEBAR_FROM_DATE,DEBAR_TO_DATE,DEBAR_REASON,SUPP_ELIG_STAT,INELIGIBLY_STATUS,LAST_REFRESH_DATE
323480,BMR CONSULTORIA Y CONSTRUCCIÓN S.A.C.,Peru,ANCASH,"CALLE BILBAO MZ. U LOTE 19, A.H., VILLA ESPANA, CHIMBOTE",2016-02-02,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
323491,CONSORCIO ROPRUCSA,Peru,CERCADO DE LIMA,"JR. CONDESUYO 549,A 3ER PISO",2016-02-05,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
326447,"SOFTWARE DEVELOPMENT & IT SOLUTION JOINT STOCK COMPANY (CADPRO., JSC.)",Viet Nam,HANOI,"NO. 11, CHAU LONG STREET, TRUC BACH WARD, BA DINH DISTRICT",2019-02-25,2028-11-24,"Jan. 2011 Proc. Guidelines, Para. 1.16(a)(ii), (iii), and (v)(bb)",DEBARRED,,2026-09-23T05:00:01.779Z
326920,ASTRA BIOPHARMACEUTICALS LIMITED,Bangladesh,DHAKA-1207,"43/2, RING ROAD, SHYAMOLI",2016-09-13,2999-12-31,"Procurement Guidelines, 1.14(a)(i)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
325977,PSL ENGINEERING PRIVATE LIMITED,India,NEW DELHI-110020,"B-10/1, OKHLA INDUSTRIAL ESTATE, PHASE-II",2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.,DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
325978,AIRSERCO PRIVATE LIMITED,India,NEW DELHI- 110020,"B-10/1, OKHLA INDUSTRIAL ESTATE, PHASE-II",2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.,DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
325980,PSL ENGINEERING PVT. LTD.,India,NEW DELHI-110020,"159, OKHLA INDUSTRIAL ESTATE, PHASE-III",2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.,DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
325954,FEDDERS ELECTRIC & ENGINEERING LTD.,India,NEW DELHI- 110020,"B-10/1, OKHLA INDUSTRIAL ESTATE, PHASE-II",2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.,DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
325955,LLOYD ELECTRICAL & ENGINEERING LIMITED,India,"RAJASTHAN, PIN-301 019","A-146 (B&C), RIICO INDUSTRIAL AREA, BHIWADI, DISTT. ALWAR",2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.,DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
325976,REGAL INFORMATION TECHNOLOGY PRIVATE LIMITED,India,NEW DELHI -110020,"159, OKHLA INDUSTRIAL ESTATE, PHASE-III,",2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.,DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
325979,LLOYD INFOTECH (INDIA) PRIVATE LIMITED,India,NEW DELHI -110020,"159, OKHLA INDUSTRIAL ESTATE, PHASE-III,",2016-04-06,2999-12-31,Controlled Affiliate of a Sanctioned Entity.,DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
327429,MR. PABLO MAXIMILIANO KANTT,Argentina,BUENOS AIRES,"C/O CENTRO PRODUCTIVO DE DISEÑO S.A., MEXICO 337, CP 1097, CABA",2016-10-18,2999-12-31,"Procurement Guidelines, 1.15(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
324625,"THANG LOI GROUP CO., LTD.",Viet Nam,NAM ĐỊNH,"ĐƯỜNG 57A, THỊ TRẤN LÂM, HUYỆN Ý YÊN",2016-04-05,2999-12-31,"2010 Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
323589,DESARROLLO CON INGENIERÍA CONTRATISTAS GENERALES S.A. (DISA-CGSA),Peru,JUNÍN,"CALLE SAN MARCOS NO. 508, URB. SAN ANTONIO, HUANCAYO",2016-02-09,2999-12-31,"Procurement Guidelines,1.16(a)(ii); Procurement Guidelines,1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
326305,"JIANGXI HENGJIAN ROAD AND BRIDGE ENGINEERING CO., LTD.",China,"JIANGXI PROVINCE, ZIP CODE: 334200","MIAOPU, YINCHENG COUNTY, DEXING CITY, SHANGRAO",2016-08-05,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
326448,TIGER IT BANGLADESH LTD.,Bangladesh,"DHAKA, 1213","HOUSE 21, ROAD 28, BLOCK-K, BANANI MODEL TOWN",2019-04-24,2028-10-23,"May 2010 Procurement Guidelines, Paras. 1.14(a)(i), (iii), and (v)(bb)",DEBARRED,,2026-09-23T05:00:01.779Z
323273,JUYDAM-TAMIRCHI LLC,Uzbekistan,FERGANA CITY,"DASHNAYA 8, FERGANA REGION",2018-06-13,2999-12-31,"Jan. 2011 Procurement Guidelines, Paras. 1.16(a)(ii) & 1.16(a)(iii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
326684,ESKE S.A.C.,Peru,LIMA 34,"JIRON VICTOR MANTILLA NO. 237, 245 SURQUILLO",2016-08-26,2999-12-31,"Procurement Guidelines, 1.14(a)(ii)",DEBARRED,Ongoing,2026-09-23T05:00:01.779Z
